"case_study","title","author","journal","year","Threat_category_numeric","Threat_category_description","Response_category_numeric","Response_category_description"
"Bycatch","Are bycatch rates sufficient as the principal fishery performance measure and method of assessment for seabirds?","Tuck, Geoffrey N.","Aquatic Conservation: Marine and Freshwater Ecosystems",2011,2,"Threatening mechanism",0,"No response"
"Bycatch","Modelling the effect of fishing on southern Buller's albatross using a 60_year dataset","Francis, R. I. C. C., Sagar, P. M.","New Zealand Journal of Zoology",2011,2,"Threatening mechanism",0,"No response"
"Bycatch","Seabird mortality associated with ice trawlers in the Patagonian shelf: effect of discards on the occurrence of interactions with fishing gear","Favero, M, Blanco, G, Garcia, G., Copello, S, Seco Pon, J P, Frere, E, Quintana, F, Yorio, P., Rabuffetti, F., Canete, G.","Animal Conservation",2011,2,"Threatening mechanism",0,"No response"
"Bycatch","Global seabird bycatch in longline fisheries","Anderson, Orea R J, Small, Cleo J, Croxall, John P, Dunn, Euan K, Sullivan, Benedict J, Yates, Oliver, Black, Andrew","Endangered Species Reseach",2011,2,"Threatening mechanism",0,"No response"
"Bycatch","Impact of Taiwanese distant water longline fisheries on the Pacific seabirds: finding hotspots on the high seas","Huang, H_W., Yeh, Y_M.","Animal Conservation",2011,2,"Threatening mechanism",0,"No response"
"Bycatch","Sex_biased incidental mortality of albatrosses and petrels in longline fisheries: differential distributions at sea or differential access to baits mediated by sexual size dimorphism?","Bugoni, Leandro, Griffiths, Kate, Furness, RobertW","Journal of Ornithology",2011,2,"Threatening mechanism",0,"No response"
"Bycatch","Albatrosses Following Fishing Vessels: How Badly Hooked Are They on an Easy Meal","Granadeiro, Jose P, Phillips, R. A., Brickle, P., Catry, P.","PLoS ONE",2011,3,"Source of mechanism",1,"Proposing a response"
"Bycatch","Structure of the seabird assemblage associated with pelagic longline vessels in the southwestern Atlantic: implications for bycatch","JimŽnez, S., Domingo, A., Abreau, M., Brazeiro, A.","Endangered Species Reseach",2011,3,"Source of mechanism",0,"No response"
"Bycatch","Bycatch of high sea longline fisheries and measures taken by Taiwan: Actions and challenges","Huang, H_W.","Marine Policy",2011,4,"Underlying driver of threat",0,"No response"
"Bycatch","Reducing effects of trawl fishing on seabirds by limiting foraging opportunities provided by fishery waste","Pierre, Johanna P, Abraham, Edward R, Cleal, John, Middleton, David A. J","Emu",2012,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Direct evidence of the impact of longline fishery on mortality in the Black_footed Albatross","Lebreton, J_D., Veran, S.","Bird Conservation International",2012,2,"Threatening mechanism",0,"No response"
"Bycatch","Hook Effects on Seabird Bycatch in The United States Atlantic Pelagic Longline Fishery","Li, Y., Browder, J. A., Jiao, Y.","Bulletin of Marine Science",2012,2,"Threatening mechanism",4,"Testing response"
"Bycatch","Bycatch susceptibility in pelagic longline fisheries: are albatrosses affected by the diving behaviour of medium_sized petrels","JimŽnez, S., Domingo, A., Abreau, M., Brazeiro, A.","AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS",2012,2,"Threatening mechanism",0,"No response"
"Bycatch","Estimates of Total Seabird Bycatch by Atlantic Pelagic Longline Fisheries from 2003 to 2006","Klaer, Neil L","Marine Fisheries Review",2012,2,"Threatening mechanism",0,"No response"
"Bycatch","Estimates of seabird incidental catch by pelagic longline fisheries in the South Atlantic Ocean","Yeh, Y_M, Huang, H_W, Dietrich, K. S, Melvin, E","Animal Conservation",2012,2,"Threatening mechanism",0,"No response"
